"Film","Year","Script.Type","Rotten.Tomatoes..critics","Metacritic..critics","Average.critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Rotten.Tomatoes.vs.Metacritic..deviance","Average.audience","Audience.vs.Critics.deviance","Primary.Genre","Genre","Opening.Weekend","Opening.weekend...million.","Domestic.Gross","Domestic.gross...million.","Foreign.Gross...million.","Foreign.Gross","Worldwide.Gross","Worldwide.Gross...million.","of.Gross.earned.abroad","Budget...million.","Budget.recovered","Budget.recovered.opening.weekend","Oscar.Winners","Oscar.Detail","Link","None","Distributor","IMDb.Rating","IMDB.vs.RT.disparity","Release.Date..US."
"We Bought a Zoo",2011,"adaptation","63","58","61",79,"69","10","74","-14",NA,"family","9360000","9.36","75624000","75.62","44.457","44457000","120081000","120.08","37.02%","50","240.16%","18.72%","","","http://www.amazon.com/gp/product/B007R0XM88/?tag=titb-20",1,NA,NA,NA,"Dec 23, 2011"
"Moneyball",2011,"based on a true story","95","87","91",89,"79","10","84","7",NA,"biography, sport","19500000","19.5","75600000","75.6","34.6","34600000","110200000","110.2","31.40%","50","220.40%","39.00%","","","http://www.amazon.com/gp/product/B006IMY5ZU/?tag=titb-20",1,NA,NA,NA,"Sep 23, 2011"
"Crazy, Stupid, Love",2011,"original screenplay","78","68","73",81,"75","6","78","-5",NA,"comedy, romance","19100000","19.1","84350000","84.35","58.5","58500000","142850000","142.85","40.95%","50","285.70%","38.20%","","","http://www.amazon.com/gp/product/B0060V1WJ6/?tag=titb-20",1,NA,NA,NA,"Jul 29, 2011"
"Dream House",2011,"original screenplay","7","35","21",38,"57","-19","48","-27",NA,"mystery, thriller","8130000","8.13","21300000","21.3","17.2","17200000","38500000","38.5","44.68%","50","77.00%","16.26%","","","http://www.amazon.com/gp/product/B0070Z97LG/?tag=titb-20",1,NA,NA,NA,"September 30, 2011"
"Super 8 ",2011,"original screenplay","82","72","77",78,"73","5","76","2",NA,"mystery, sci-fi, thriller","35450000","35.45","127000000","127","133.09","133090000","260090000","260.09","51.17%","50","520.18%","70.90%","","","http://www.amazon.com/gp/product/B0068TJLSY/?tag=titb-20",1,NA,NA,NA,"Jun 10, 2011"
"Your Highness",2011,"original screenplay","26","31","29",36,"49","-13","43","-14",NA,"adventure, comedy, fantasy","9360000","9.36","21600000","21.6","3.26","3260000","24860000","24.86","13.11%","49.9","49.82%","18.76%","","","http://www.amazon.com/gp/product/B005BZQTGS/?tag=titb-20",1,NA,NA,NA,"Apr 8, 2011"
"The Muppets",2011,"adaptation","97","75","86",87,"77","10","82","4",NA,"comedy, family, musical","29240000","29.24","88630000","88.63","76.55","76550000","165180000","165.18","46.34%","45","367.07%","64.98%","","","http://www.amazon.com/gp/product/B007C94QRK/?tag=titb-20",1,NA,NA,NA,"Nov 23, 2011"
"The Rum Diary",2011,"adaptation","50","56","53",48,"65","-17","57","-4",NA,"comedy","5140000","5.14","13110000","13.11","10.84","10840000","23950000","23.95","45.26%","45","53.22%","11.42%","","","http://www.amazon.com/gp/product/B006ZEDZNY/?tag=titb-20",1,NA,NA,NA,"Oct 28, 2011"
"Drive Angry",2011,"original screenplay","45","44","45",38,"54","-16","46","-2",NA,"action, crime, fantasy","5190000","5.19","10720000","10.72","18.21","18210000","28930000","28.93","62.95%","45","64.29%","11.53%","","","http://www.amazon.com/gp/product/B0053EZY04/?tag=titb-20",1,NA,NA,NA,"Feb 25, 2011"
"Johnny English Reborn",2011,"sequel","38","46","42",55,"63","-8","59","-17",NA,"adventure, comedy, crime","3830000","3.83","8310000","8.31","151.77","151770000","160080000","160.08","94.81%","45","355.73%","8.51%","","","http://www.amazon.com/gp/product/B0076R62FM/?tag=titb-20",1,NA,NA,NA,"Oct 21, 2011"
"Red Riding Hood",2011,"adaptation","11","29","20",41,"42","-1","42","-22",NA,"fantasy, horror, mystery","14010000","14.01","37660000","37.66","51.5","51500000","89160000","89.16","57.76%","42","212.29%","33.36%","","","http://www.amazon.com/gp/product/B0055QL28I/?tag=titb-20",1,NA,NA,NA,"Mar 11, 2011"
"Extremely Loud and Incredibly Close",2011,"adaptation","47","46","47",62,"60","2","61","-15",NA,"adventure, mystery","10040000","10.04","31847000","31.85","23.4","23400000","55247000","55.25","42.36%","40","138.12%","25.10%","","","http://www.amazon.com/gp/product/B007P3S1AQ/?tag=titb-20",1,NA,NA,NA,"Dec 25, 2011"
"Season Of The Witch",2011,"adaptation","10","28","19",32,"51","-19","42","-23",NA,"action, adventure, fantasy","10600000","10.6","24830000","24.83","66.8","66800000","91630000","91.63","72.90%","40","229.08%","26.50%","","","http://www.amazon.com/gp/product/B0057UIV9K/?tag=titb-20",1,NA,NA,NA,"Jan 7, 2011"
"The Lincoln Lawyer",2011,"adaptation","84","63","74",82,"74","8","78","-5",NA,"crime, thriller","13210000","13.21","58010000","58.01","17","17000000","75010000","75.01","22.66%","40","187.53%","33.03%","","","http://www.amazon.com/gp/product/B008Y73940/?tag=titb-20",1,NA,NA,NA,"Mar 18, 2011"
"Colombiana",2011,"original screenplay","28","45","37",55,"55","0","55","-19",NA,"action, crime, thriller","10410000","10.41","36670000","36.67","24.3","24300000","60970000","60.97","39.86%","40","152.43%","26.03%","","","http://www.amazon.com/gp/product/B006O66EFE/?tag=titb-20",1,NA,NA,NA,"Aug 26, 2011"
"In Time",2011,"original screenplay","38","53","46",55,"63","-8","59","-14",NA,"action, sci-fi, thriller","12050000","12.05","37520000","37.52","136.41","136410000","173930000","173.93","78.43%","40","434.83%","30.13%","","","http://www.amazon.com/gp/product/B0073PZIYI/?tag=titb-20",1,NA,NA,NA,"Oct 28, 2011"
"Paul",2011,"original screenplay","72","57","65",70,"70","0","70","-6",NA,"adventure, comedy, sci-fi","13040000","13.04","37410000","37.41","60.57","60570000","97980000","97.98","61.82%","40","244.95%","32.60%","","","http://www.amazon.com/gp/product/B005BZQVJ8/?tag=titb-20",1,NA,NA,NA,"Mar 18, 2011"
"The Mechanic",2011,"original screenplay","53","49","51",52,"61","-9","57","-6",NA,"action, crime, thriller","11400000","11.4","29120000","29.12","21.95","21950000","51070000","51.07","42.98%","40","127.68%","28.50%","","","http://www.amazon.com/gp/product/B0052OWGYW/?tag=titb-20",1,NA,NA,NA,"Jan 28, 2011"
"Arthur",2011,"remake / reboot","26","36","31",49,"50","-1","50","-19",NA,"comedy, romance","12220000","12.22","33040000","33.04","12.7","12700000","45740000","45.74","27.77%","40","114.35%","30.55%","","","http://www.amazon.com/gp/product/B0053YIDOS/?tag=titb-20",1,NA,NA,NA,"Apr 8, 2011"
"Final Destination 5",2011,"sequel","61","50","56",56,"64","-8","60","-5",NA,"horror, thriller","18030000","18.03","42590000","42.59","115.3","115300000","157890000","157.89","73.03%","40","394.73%","45.08%","","","http://www.amazon.com/gp/product/B00HYM5MHI/?tag=titb-20",1,NA,NA,NA,"Aug 12, 2011"
"Scream 4",2011,"sequel","58","52","55",57,"69","-12","63","-8",NA,"horror, mystery","18690000","18.69","38180000","38.18","58.96","58960000","97140000","97.14","60.70%","40","242.85%","46.73%","","","http://www.amazon.com/gp/product/B008W02IWS/?tag=titb-20",1,NA,NA,NA,"Apr 15, 2011"
"The Thing",2011,"adaptation","36","49","43",52,"63","-11","58","-15",NA,"horror, mystery, sci-fi","8490000","8.49","16930000","16.93","10.5","10500000","27430000","27.43","38.28%","38","72.18%","22.34%","","","http://www.amazon.com/gp/product/B0070Z4M4I/?tag=titb-20",1,NA,NA,NA,"Oct 14, 2011"
"Water For Elephants",2011,"adaptation","60","52","56",72,"70","2","71","-15",NA,"romance","16840000","16.84","58710000","58.71","58.39","58390000","117100000","117.1","49.86%","38","308.16%","44.32%","","","http://www.amazon.com/gp/product/B006228KPW/?tag=titb-20",1,NA,NA,NA,"Apr 22, 2011"
"Dolphin Tale",2011,"adaptation","84","64","74",81,"64","17","73","2",NA,"family","19150000","19.15","72290000","72.29","23.12","23120000","95410000","95.41","24.23%","37","257.86%","51.76%","","","http://www.amazon.com/gp/product/B0064J63DY/?tag=titb-20",1,NA,NA,NA,"Sep 23, 2011"
"The Rite",2011,"adaptation","20","38","29",43,"53","-10","48","-19",NA,"horror, thriller","14800000","14.8","33050000","33.05","63","63000000","96050000","96.05","65.59%","37","259.59%","40.00%","","","http://www.amazon.com/gp/product/B00517FG4M/?tag=titb-20",1,NA,NA,NA,"Jan 28, 2011"
"Gnomeo and Juliet",2011,"original screenplay","56","53","55",52,"59","-7","56","-1",NA,"animation, comedy, family","25360000","25.36","99970000","99.97","94","94000000","193970000","193.97","48.46%","36","538.81%","70.44%","","","http://www.amazon.com/gp/product/B004Z2TUDW/?tag=titb-20",1,NA,NA,NA,"Feb 11, 2011"
"Hall Pass",2011,"original screenplay","35","45","40",44,"55","-11","50","-10",NA,"comedy, romance","13540000","13.54","45060000","45.06","38.1","38100000","83160000","83.16","45.82%","36","231.00%","37.61%","","","http://www.amazon.com/gp/product/B00505WQ8E/?tag=titb-20",1,NA,NA,NA,"Feb 25, 2011"
"Something Borrowed",2011,"adaptation","15","36","26",48,"50","-2","49","-24",NA,"comedy, romance","13950000","13.95","39050000","39.05","21.14","21140000","60190000","60.19","35.12%","35","171.97%","39.86%","","","http://www.amazon.com/gp/product/B005BGBP3Y/?tag=titb-20",1,NA,NA,NA,"May 6, 2011"
"J.Edgar",2011,"based on a true story","42","59","51",84,"65","19","75","-24",NA,"biography, crime","11220000","11.22","37310000","37.31","47.3","47300000","84610000","84.61","55.90%","35","241.74%","32.06%","","","http://www.amazon.com/gp/product/B007BLCGNU/?tag=titb-20",1,NA,NA,NA,"Nov 9, 2011"
"Abduction",2011,"original screenplay","4","25","15",46,"46","0","46","-32",NA,"action, mystery, thriller","10930000","10.93","28090000","28.09","54","54000000","82090000","82.09","65.78%","35","234.54%","31.23%","","","http://www.amazon.com/gp/product/B006P4O5JM/?tag=titb-20",1,NA,NA,NA,"Sep 23, 2011"
"Friends With Benefits",2011,"original screenplay","71","63","67",68,"66","2","67","0",NA,"comedy, romance","18620000","18.62","55800000","55.8","93.74","93740000","149540000","149.54","62.69%","35","427.26%","53.20%","","","http://www.amazon.com/gp/product/B00650SSWG/?tag=titb-20",1,NA,NA,NA,"Jul 22, 2011"
"Horrible Bosses",2011,"original screenplay","69","57","63",72,"71","1","72","-9",NA,"comedy, crime","28300000","28.3","117540000","117.54","92.1","92100000","209640000","209.64","43.93%","35","598.97%","80.86%","","","http://www.amazon.com/gp/product/B005LJK3AC/?tag=titb-20",1,NA,NA,NA,"Jul 8, 2011"
"Bridesmaids",2011,"original screenplay","90","75","83",77,"72","5","75","8",NA,"comedy, romance","26250000","26.25","169110000","169.11","119.28","119280000","288390000","288.39","41.36%","32.5","887.35%","80.77%","","","http://www.amazon.com/gp/product/B005KL3QZ0/?tag=titb-20",1,NA,NA,NA,"May 13, 2011"
"Source Code",2011,"original screenplay","92","74","83",81,"76","5","79","5",NA,"mystery, sci-fi, thriller","14810000","14.81","54710000","54.71","92.62","92620000","147330000","147.33","62.87%","32","460.41%","46.28%","","","http://www.amazon.com/gp/product/B0053F042G/?tag=titb-20",1,NA,NA,NA,"Apr 1, 2011"
"The Tree Of Life",2011,"original screenplay","84","85","85",61,"66","-5","64","21",NA,"fantasy","370000","0.37","13300000","13.3","41","41000000","54300000","54.3","75.51%","32","169.69%","1.16%","","","http://www.amazon.com/gp/product/B005UKJX4E/?tag=titb-20",1,NA,NA,NA,"May 27, 2011"
"Unknown",2011,"adaptation","55","56","56",57,"64","-7","61","-5",NA,"action, mystery, thriller","21860000","21.86","63690000","63.69","67.1","67100000","130790000","130.79","51.30%","30","435.97%","72.87%","","","http://www.amazon.com/gp/product/B004ZGI1V0/?tag=titb-20",1,NA,NA,NA,"Feb 18, 2011"
"Winnie The Pooh",2011,"adaptation","91","74","83",79,"78","1","79","4",NA,"animation, adventure, comedy","7860000","7.86","26690000","26.69","6.46","6460000","33150000","33.15","19.49%","30","110.50%","26.20%","","","http://www.amazon.com/gp/product/B005ZB8ZHY/?tag=titb-20",1,NA,NA,NA,"Jul 15, 2011"
"Anonymous",2011,"original screenplay","46","50","48",66,"62","4","64","-16",NA,"history, thriller","1020000","1.02","4460000","4.46","10.93","10930000","15390000","15.39","71.02%","30","51.30%","3.40%","","","http://www.amazon.com/gp/product/B0076D21O2/?tag=titb-20",1,NA,NA,NA,"Oct 28, 2011"
"Hanna",2011,"original screenplay","71","65","68",67,"70","-3","69","-1",NA,"action, adventure, thriller","12370000","12.37","40260000","40.26","23.52","23520000","63780000","63.78","36.88%","30","212.60%","41.23%","","","http://www.amazon.com/gp/product/B005KAH7QU/?tag=titb-20",1,NA,NA,NA,"Apr 8, 2011"
"Larry Crowne",2011,"original screenplay","34","41","38",46,"58","-12","52","-15",NA,"comedy, romance","13100000","13.1","35610000","35.61","36.4","36400000","72010000","72.01","50.55%","30","240.03%","43.67%","","","http://www.amazon.com/gp/product/B0067XLIG4/?tag=titb-20",1,NA,NA,NA,"Jul 1, 2011"
"Sanctum",2011,"original screenplay","30","42","36",39,"50","-11","45","-9",NA,"adventure, thriller","9400000","9.4","23210000","23.21","85.4","85400000","108610000","108.61","78.63%","30","362.03%","31.33%","","","http://www.amazon.com/gp/product/B0054IOWTS/?tag=titb-20",1,NA,NA,NA,"Feb 4, 2011"
"Fright Night",2011,"remake / reboot","75","64","70",68,"68","0","68","2",NA,"comedy, horror","7710000","7.71","18300000","18.3","22.7","22700000","41000000","41","55.37%","30","136.67%","25.70%","","","http://www.amazon.com/gp/product/B0094M2TB8/?tag=titb-20",1,NA,NA,NA,"August 19, 2011"
"30 Minutes or Less",2011,"original screenplay","43","49","46",48,"56","-8","52","-6",NA,"action, comedy, crime","13330000","13.33","37050000","37.05","3.49","3490000","40540000","40.54","8.61%","28","144.79%","47.61%","","","http://www.amazon.com/gp/product/B0062KJ1Q6/?tag=titb-20",1,NA,NA,NA,"Aug 12, 2011"
"Limitless",2011,"adaptation","69","59","64",73,"72","1","73","-9",NA,"mystery, sci-fi, thriller","18910000","18.91","79250000","79.25","82.6","82600000","161850000","161.85","51.03%","27","599.44%","70.04%","","","http://www.amazon.com/gp/product/B005DD7TI0/?tag=titb-20",1,NA,NA,NA,"Mar 18, 2011"
"Spy Kids: All The Time in the World",2011,"sequel","22","37","30",40,"24","16","32","-3",NA,"action, adventure, comedy","11640000","11.64","38540000","38.54","47.03","47030000","85570000","85.57","54.96%","27","316.93%","43.11%","","","http://www.amazon.com/gp/product/B006BQFETE/?tag=titb-20",1,NA,NA,NA,"Aug 19, 2011"
"The Eagle",2011,"adaptation","39","55","47",43,"60","-17","52","-5",NA,"adventure ","8680000","8.68","19490000","19.49","7.63","7630000","27120000","27.12","28.13%","25","108.48%","34.72%","","","http://www.amazon.com/gp/product/B0055OKKBA/?tag=titb-2",1,NA,NA,NA,"Feb 11, 2011"
"No Strings Attached",2011,"original screenplay","49","50","50",57,"54","3","56","-6",NA,"comedy, romance","19700000","19.7","70660000","70.66","78.57","78570000","149230000","149.23","52.65%","25","596.92%","78.80%","","","http://www.amazon.com/gp/product/B00503BN1M/?tag=titb-20",1,NA,NA,NA,"Jan 21, 2011"
"Shark Night 3D",2011,"original screenplay","16","22","19",25,"45","-20","35","-16",NA,"horror, thriller","8400000","8.4","18880000","18.88","21.26","21260000","40140000","40.14","52.96%","25","160.56%","33.60%","","","http://www.amazon.com/gp/product/B006SV89YO/?tag=titb-20",1,NA,NA,NA,"Sep 2, 2011"
"Take Me Home Tonight",2011,"original screenplay","28","42","35",46,"62","-16","54","-19",NA,"comedy, romance","3460000","3.46","6930000","6.93","0.6","600000","7530000","7.53","7.97%","25","30.12%","13.84%","","","http://www.amazon.com/gp/product/B005DD7CKU/?tag=titb-20",1,NA,NA,NA,"Mar 4, 2011"
"The Conspirator",2011,"original screenplay","56","55","56",65,"68","-3","67","-11",NA,"crime, history","3510000","3.51","11540000","11.54","3.94","3940000","15480000","15.48","25.45%","25","61.92%","14.04%","","","http://www.amazon.com/gp/product/B005HGKW00/?tag=titb-20",1,NA,NA,NA,"April 15, 2011"
"The Sitter",2011,"original screenplay","22","39","31",43,"52","-9","48","-17",NA,"comedy","9850000","9.85","30441000","30.44","4.5","4500000","34941000","34.94","12.88%","25","139.76%","39.40%","","","http://www.amazon.com/gp/product/B007MJSOO6/?tag=titb-20",1,NA,NA,NA,"Dec 9, 2011"
"Warrior",2011,"original screenplay","83","71","77",93,"84","9","89","-12",NA,"sport","5240000","5.24","13660000","13.66","9.4","9400000","23060000","23.06","40.76%","25","92.24%","20.96%","","","http://www.amazon.com/gp/product/B006O5YHUY/?tag=titb-20",1,NA,NA,NA,"Sep 9, 2011"
"Don't Be Afraid Of The Dark",2011,"remake / reboot","59","56","58",37,"54","-17","46","12",NA,"fantasy, horror, thriller","8530000","8.53","24050000","24.05","12.95","12950000","37000000","37","35.00%","25","148.00%","34.12%","","","http://www.amazon.com/gp/product/B006REBZOS/?tag=titb-20",1,NA,NA,NA,"Aug 26, 2011"
"Footloose",2011,"remake / reboot","71","58","65",71,"58","13","65","0",NA,"comedy, music, romance","15560000","15.56","51800000","51.8","11.74","11740000","63540000","63.54","18.48%","24","264.75%","64.83%","","","http://www.amazon.com/gp/product/B007HJ91HU/?tag=titb-20",1,NA,NA,NA,"Oct 14, 2011"
"Tinker Tailor Soldier Spy",2011,"adaptation","83","85","84",68,"65","3","67","18",NA,"mystery, thriller","5470000","5.47","24149000","24.15","56.481","56481000","80630000","80.63","70.05%","21","383.95%","26.05%","","","http://www.amazon.com/gp/product/B007BVOF8E/?tag=titb-20",1,NA,NA,NA,"Jan 6, 2012"
"The Beaver",2011,"original screenplay","62","60","61",57,"64","-7","61","1",NA,"drama","110000","0.11","970000","0.97","5.4","5400000","6370000","6.37","84.77%","21","30.33%","0.52%","","","http://www.amazon.com/gp/product/B005GH8U0E/?tag=titb-20",1,NA,NA,NA,"May 20, 2011"
"Diary of a Wimpy Kid 2: Rodrick Rules",2011,"sequel","47","51","49",63,"72","-9","68","-19",NA,"comedy, family","23750000","23.75","52700000","52.7","19.72","19720000","72420000","72.42","27.23%","21","344.86%","113.10%","","","http://www.amazon.com/gp/product/B00574P9EQ/?tag=titb-20",1,NA,NA,NA,"Mar 25, 2011"
"A Dangerous Method",2011,"adaptation","79","76","78",89,"62","27","76","2",NA,"biography, thriller","170000","0.17","5700000","5.7","21.76","21760000","27460000","27.46","79.24%","20","137.30%","0.85%","","","http://www.amazon.com/gp/product/B007OUFESC/?tag=titb-20",1,NA,NA,NA,"Dec 23, 2011"
"Dylan Dog: Dead of Night",2011,"adaptation","6","31","19",28,"55","-27","42","-23",NA,"comedy, horror, mystery","750000","0.75","1190000","1.19","3.45","3450000","4640000","4.64","74.35%","20","23.20%","3.75%","","","http://www.amazon.com/gp/product/B005EJN5B8/?tag=titb-20",1,NA,NA,NA,"Apr 29, 2011"
"Jane Eyre",2011,"adaptation","85","76","81",77,"71","6","74","7",NA,"romance","180000","0.18","11240000","11.24","23.47","23470000","34710000","34.71","67.62%","20","173.55%","0.90%","","","http://www.amazon.com/gp/product/B0057F869U/?tag=titb-20",1,NA,NA,NA,"Apr 8, 2011"
"What's Your Number",2011,"adaptation","24","35","30",50,"52","-2","51","-22",NA,"comedy, romance","5420000","5.42","14010000","14.01","16.42","16420000","30430000","30.43","53.96%","20","152.15%","27.10%","","","http://www.amazon.com/gp/product/B006VRZ5YM/?tag=titb-20",1,NA,NA,NA,"Sep 30, 2011"
"Bad Teacher",2011,"original screenplay","44","47","46",38,"51","-13","45","1",NA,"comedy","31600000","31.6","100290000","100.29","115.9","115900000","216190000","216.19","53.61%","20","1080.95%","158.00%","","","http://www.amazon.com/gp/product/B005W8SNNG/?tag=titb-20",1,NA,NA,NA,"Jun 24, 2011"
"Monte Carlo",2011,"original screenplay","38","43","41",50,"58","-8","54","-14",NA,"adventure, comedy, romance","7450000","7.45","23190000","23.19","16.48","16480000","39670000","39.67","41.54%","20","198.35%","37.25%","","","http://www.amazon.com/gp/product/B005WQ3F2C/?tag=titb-20",1,NA,NA,NA,"Jul 1, 2011"
"The Debt",2011,"remake / reboot","76","65","71",70,"66","4","68","3",NA,"thriller","9910000","9.91","31180000","31.18","14.46","14460000","45640000","45.64","31.68%","20","228.20%","49.55%","","","http://www.amazon.com/gp/product/B006INDMEE/?tag=titb-20",1,NA,NA,NA,"Aug 31, 2011"
"A Very Harold and Kumar 3D Christmas",2011,"sequel","72","61","67",71,"66","5","69","-2",NA,"comedy","12950000","12.95","35060000","35.06","0.33","330000","35390000","35.39","0.93%","19","186.26%","68.16%","","","http://www.amazon.com/gp/product/B006PPW98U/?tag=titb-20",1,NA,NA,NA,"Nov 4, 2011"
"Soul Surfer",2011,"adaptation","46","53","50",79,"71","8","75","-26",NA,"biography, sport","10600000","10.6","43850000","43.85","3.24","3240000","47090000","47.09","6.88%","18","261.61%","58.89%","","","http://www.amazon.com/gp/product/B0055PMUSU/?tag=titb-20",1,NA,NA,NA,"Apr 8, 2011"
"Beastly",2011,"adaptation","19","40","30",50,"54","-4","52","-23",NA,"fantasy, romance","9850000","9.85","27870000","27.87","15.3","15300000","43170000","43.17","35.44%","17","253.94%","57.94%","","","http://www.amazon.com/gp/product/B0094LYJZI/?tag=titb-20",1,NA,NA,NA,"Mar 4, 2011"
"The Roommate",2011,"original screenplay","4","23","14",29,"39","-10","34","-21",NA,"horror, thriller","15000000","15","37300000","37.3","3.19","3190000","40490000","40.49","7.88%","16","253.06%","93.75%","","","http://www.amazon.com/gp/product/B004XWLI4I/?tag=titb-20",1,NA,NA,NA,"Feb 4, 2011"
"Drive",2011,"adaptation","93","78","86",79,"77","2","78","8",NA,"crime","11340000","11.34","35060000","35.06","41.11","41110000","76170000","76.17","53.97%","15","507.80%","75.60%","","","http://www.amazon.com/gp/product/B006W0QR1S/?tag=titb-20",1,NA,NA,NA,"Sep 16, 2011"
"One Day",2011,"adaptation","37","48","43",54,"55","-1","55","-12",NA,"romance","5080000","5.08","13840000","13.84","45.55","45550000","59390000","59.39","76.70%","15","395.93%","33.87%","","","http://www.amazon.com/gp/product/B005TPCQ5I/?tag=titb-20",1,NA,NA,NA,"Aug 19, 2011"
"The Company Men",2011,"original screenplay","66","69","68",55,"64","-9","60","8",NA,"drama","640000","0.64","4440000","4.44","0.44","440000","4880000","4.88","9.02%","15","32.53%","4.27%","","","http://www.amazon.com/gp/product/B0054NQZ9S/?tag=titb-20",1,NA,NA,NA,"Jan 21, 2011"
"The Ides of March",2011,"adaptation","85","67","76",76,"71","5","74","3",NA,"drama","10470000","10.47","40960000","40.96","35.03","35030000","75990000","75.99","46.10%","12.5","607.92%","83.76%","","","http://www.amazon.com/gp/product/B006X4MW30/?tag=titb-20",1,NA,NA,NA,"Oct 7, 2011"
"My Week with Marilyn",2011,"based on a true story","83","65","74",84,"73","11","79","-5",NA,"biography  ","1750000","1.75","14600000","14.6","20.46","20460000","35060000","35.06","58.36%","10","350.60%","17.50%","","","http://www.amazon.com/gp/product/B007JRUA7K/?tag=titb-20",1,NA,NA,NA,"Nov 23, 2011"
"Cedar Rapids",2011,"original screenplay","86","70","78",61,"70","-9","66","13",NA,"comedy","300000","0","6860000","7","0","1001029","6860000","7","14.59%","10","68.60%","3.00%","","","http://www.amazon.com/gp/product/B00574SQ6E/?tag=titb-20",1,NA,NA,NA,"Feb 11, 2011"
"50/50",2011,"based on a true story","93","72","83",93,"81","12","87","-5",NA,"comedy","8640000","8.64","35010000","35.01","4.17","4170000","39180000","39.18","10.64%","8","489.75%","108.00%","","","http://www.amazon.com/gp/product/B00715S5Z4/?tag=titb-20",1,NA,NA,NA,"Sep 30, 2011"
"Shame",2011,"original screenplay","80","72","76",80,"79","1","80","-4",NA,"drama","340000","0.34","3090000","3.09","13.784","13784000","16874000","16.87","81.69%","6.5","259.60%","5.23%","","","http://www.amazon.com/gp/product/B007UXT6O6/?tag=titb-20",1,NA,NA,NA,"Dec 2, 2011"
"Everything Must Go",2011,"adaptation","74","65","70",53,"65","-12","59","11",NA,"comedy","790000","0.79","2710000","2.71","0.1","100000","2810000","2.81","3.56%","5","56.20%","15.80%","","","http://www.amazon.com/gp/product/B008Y7I2AQ/?tag=titb-20",1,NA,NA,NA,"May 13, 2011"
"Apollo 18",2011,"original screenplay","23","24","24",31,"47","-16","39","-16",NA,"horror, sci-fi, thriller","8700000","8.7","17690000","17.69","7.88","7880000","25570000","25.57","30.82%","5","511.40%","174.00%","","","http://www.amazon.com/gp/product/B006QPVGKG/?tag=titb-20",1,NA,NA,NA,"Sep 2, 2011"
"Our Idiot Brother",2011,"original screenplay","68","60","64",79,"65","14","72","-8",NA,"comedy","7010000","7.01","24820000","24.82","1","1000000","25820000","25.82","3.87%","5","516.40%","140.20%","","","http://www.amazon.com/gp/product/B006FTCBF2/?tag=titb-20",1,NA,NA,NA,"Aug 26, 2011"
"Take Shelter",2011,"original screenplay","92","85","89",85,"77","8","81","8",NA,"thriller","50000","0.05","1730000","1.73","1.4","1400000","3130000","3.13","44.73%","5","62.60%","1.00%","","","http://www.amazon.com/gp/product/B0078YXF4Y/?tag=titb-20",1,NA,NA,NA,"Oct 7, 2011"
"Paranormal Activity 3",2011,"sequel","68","59","64",58,"60","-2","59","5",NA,"horror","52570000","52.57","104030000","104.03","103.01","103010000","207040000","207.04","49.75%","5","4140.80%","1051.40%","","","http://www.amazon.com/gp/product/B00715SUI6/?tag=titb-20",1,NA,NA,NA,"Oct 21, 2011"
"Red State",2011,"original screenplay","57","50","54",59,"64","-5","62","-8",NA,"action, horror, thriller","204230","0.2","1100000","1.1","0.77","769778","1100001","1","69.98%","4","27.50%","5.11%","","","http://www.amazon.com/gp/product/B005KGPC4S/?tag=titb-20",1,NA,NA,NA,"Sep 23, 2011"
"Margin Call",2011,"original screenplay","86","76","81",73,"71","2","72","9",NA,"thriller","560000","0.56","5350000","5.35","14.15","14150000","19500000","19.5","72.56%","3.5","557.14%","16.00%","","","http://www.amazon.com/gp/product/B008Y6SLL2/?tag=titb-20",1,NA,NA,NA,"Oct 21, 2011"
"Insidious",2011,"original screenplay","67","52","60",65,"70","-5","68","-8",NA,"horror, thriller","13270000","13.27","54010000","54.01","43","43000000","97010000","97.01","44.33%","1.5","6467.33%","884.67%","","","http://www.amazon.com/gp/product/B016887PIW/?tag=titb-20",1,NA,NA,NA,"Apr 1, 2011"
"Another Earth",2011,"original screenplay","63","66","65",74,"72","2","73","-9",NA,"sci-fi ","80000","0.08","1320000","1.32","0.45","450000","1770000","1.77","25.42%","0.2","885.00%","40.00%","","","http://www.amazon.com/gp/product/B006FTCH2E/?tag=titb-20",1,NA,NA,NA,"Aug 12, 2011"
"Brave",2012,"original screenplay","78","69","74",76,"72","4","74","-1",NA,"animation, action, adventure","66323594","66.32","237283207","237.28","301.7","301,700,000","538983207","539","55.98%","185","291.34%","35.85%","Oscar winner","Best Animated Feature","http://www.amazon.com/gp/product/B009D5VNLS/?tag=titb-20",1,NA,NA,NA,"Jun 22, 2012"
"Life of Pi",2012,"adaptation","87","79","83",85,"78","7","82","2",NA,"adventure, fantasy","22451514","22.45","124987023","124.99","484.03","484029542","609016565","609","79.48%","120","507.51%","18.71%","Oscar winner","Best Director","http://www.amazon.com/gp/product/B00BSBT8M6/?tag=titb-20",1,NA,NA,NA,"Nov 21, 2012"
"Django Unchained",2012,"original screenplay","88","81","85",92,"85","7","89","-4",NA,"adventure, western","30122888","30.12","162805434","162.81","262.56","262562804","425368238","425","61.73%","100","425.37%","30.12%","Oscar winner","Best Original Screenplay","http://www.amazon.com/gp/product/B00BJS7104/?tag=titb-20",1,NA,NA,NA,"Dec 25, 2012"
